origin,destination,value
1,2,39
1,3,76
1,4,50
1,5,54
1,6,3
1,7,41
1,8,72
1,9,77
1,10,92
2,1,22
2,3,25
2,4,55
2,5,90
2,6,24
2,7,1
2,8,64
2,9,19
2,10,74
3,1,48
3,2,87
3,4,9
3,5,50
3,6,60
3,7,92
3,8,91
3,9,91
3,10,81
4,1,73
4,2,62
4,3,52
4,5,71
4,6,42
4,7,80
4,8,97
4,9,38
4,10,87
5,1,10
5,2,49
5,3,67
5,4,35
5,6,32
5,7,24
5,8,35
5,9,45
5,10,16
6,1,44
6,2,53
6,3,60
6,4,20
6,5,85
6,7,80
6,8,7
6,9,66
6,10,84
7,1,22
7,2,75
7,3,13
7,4,51
7,5,33
7,6,72
7,8,26
7,9,29
7,10,98
8,1,43
8,2,3
8,3,85
8,4,9
8,5,83
8,6,100
8,7,18
8,9,80
8,10,82
9,1,16
9,2,5
9,3,99
9,4,58
9,5,19
9,6,42
9,7,81
9,8,36
9,10,58
10,1,92
10,2,51
10,3,45
10,4,61
10,5,53
10,6,45
10,7,41
10,8,11
10,9,15
